#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_092310.1	1	59034463	73	8312	0.0140799	0.000185451	39.5	37.7
NC_092311.1	1	57716770	82	9486	0.0164354	0.00021311	39.4	38.6
NC_092312.1	1	76906396	64	8015	0.0104218	0.000124827	39.8	33.4
NC_092313.1	1	77301657	107	14600	0.018887	0.000207589	39.6	30.1
NC_092314.1	1	44587295	42	5375	0.012055	0.000141296	39.4	35.8
NC_092315.1	1	49228674	46	5996	0.0121799	0.000140162	39.6	31.1
NC_092316.1	1	52323663	61	7660	0.0146396	0.000174854	39.8	40.9
NC_092317.1	1	48754064	1578	9356	0.0191902	0.00485498	36.4	2.94
NC_092318.1	1	55030746	69	9179	0.0166798	0.000188077	39	19.3
NC_092319.1	1	49172495	42	5172	0.0105181	0.00012812	39.7	34.2
NC_092320.1	1	63716479	67	8765	0.0137563	0.000157683	39.7	23.3
NC_092321.1	1	63214365	74	9745	0.0154158	0.000175593	39.4	44.9
NC_092322.1	1	40515400	80	10241	0.0252768	0.000296085	39.3	10.7
NC_092323.1	1	50646195	113	13041	0.0257492	0.000334576	39.1	13.7
NC_092324.1	1	53737150	60	7383	0.0137391	0.000167482	39.8	43.5
NC_092325.1	1	46623164	66	8524	0.0182828	0.000212319	39.7	46.9
NC_092326.1	1	44254144	52	6942	0.0156867	0.000176255	39.5	39.1
NC_092327.1	1	41449412	52	6835	0.01649	0.000188181	39.4	42.6
NC_092328.1	1	48872521	66	8569	0.0175334	0.000202486	39.7	16.2
NC_092329.1	1	54177763	86	11304	0.0208646	0.000238105	39.6	29.7
NC_092330.1	1	45802622	50	6482	0.014152	0.000163746	39.4	36.7
NC_092331.1	1	62661540	285	35641	0.0568786	0.000681997	39.2	8.96
NW_027266169.1	1	51748	2	237	0.457989	0.00579733	39.8	0
NW_027266172.1	1	81056	2	300	0.370114	0.00370114	31.4	0
NW_027266175.1	1	51392	9	1062	2.06647	0.0262687	39.5	44.1
NW_027266188.1	1	170650	4	600	0.351597	0.00351597	39.5	60
NW_027266189.1	1	35175	1	150	0.426439	0.00426439	40	0
NW_027266191.1	1	23128	2	299	1.29281	0.0129281	39.2	0
NW_027266203.1	1	25458	2	300	1.17841	0.0117841	39.7	0
NW_027266217.1	1	18858	2	300	1.59084	0.0159084	40	0
NW_027266220.1	1	21154	1	150	0.709086	0.00709086	39	0
NW_027266262.1	1	6868091	116	16606	0.241785	0.00253185	39	0.155
NC_008535.1	1	155189	71	8748	5.637	0.0685873	39.6	16.3
NW_027266152.1	1	27834	0	0	0	0	0	0
NW_027266153.1	1	85510	0	0	0	0	0	0
NW_027266154.1	1	11286	0	0	0	0	0	0
NW_027266155.1	1	165930	0	0	0	0	0	0
NW_027266156.1	1	72139	0	0	0	0	0	0
NW_027266157.1	1	88571	0	0	0	0	0	0
NW_027266158.1	1	85180	0	0	0	0	0	0
NW_027266159.1	1	83483	0	0	0	0	0	0
NW_027266160.1	1	106409	0	0	0	0	0	0
NW_027266161.1	1	59250	0	0	0	0	0	0
NW_027266162.1	1	160555	0	0	0	0	0	0
NW_027266163.1	1	83150	0	0	0	0	0	0
NW_027266164.1	1	86285	0	0	0	0	0	0
NW_027266165.1	1	81071	0	0	0	0	0	0
NW_027266166.1	1	10235	0	0	0	0	0	0
NW_027266167.1	1	84827	0	0	0	0	0	0
NW_027266168.1	1	20037	0	0	0	0	0	0
NW_027266170.1	1	6834	0	0	0	0	0	0
NW_027266171.1	1	137395	0	0	0	0	0	0
NW_027266173.1	1	88264	0	0	0	0	0	0
NW_027266174.1	1	25189	0	0	0	0	0	0
NW_027266176.1	1	114993	0	0	0	0	0	0
NW_027266177.1	1	25971	0	0	0	0	0	0
NW_027266178.1	1	82386	0	0	0	0	0	0
NW_027266179.1	1	149956	0	0	0	0	0	0
NW_027266180.1	1	98811	0	0	0	0	0	0
NW_027266181.1	1	34951	0	0	0	0	0	0
NW_027266182.1	1	18777	0	0	0	0	0	0
NW_027266183.1	1	97437	0	0	0	0	0	0
NW_027266184.1	1	50892	0	0	0	0	0	0
NW_027266185.1	1	45501	0	0	0	0	0	0
NW_027266186.1	1	92025	0	0	0	0	0	0
NW_027266187.1	1	101479	0	0	0	0	0	0
NW_027266190.1	1	56500	0	0	0	0	0	0
NW_027266192.1	1	36459	0	0	0	0	0	0
NW_027266193.1	1	54609	0	0	0	0	0	0
NW_027266194.1	1	21013	0	0	0	0	0	0
NW_027266195.1	1	65727	0	0	0	0	0	0
NW_027266196.1	1	26852	0	0	0	0	0	0
NW_027266197.1	1	32264	0	0	0	0	0	0
NW_027266198.1	1	14337	0	0	0	0	0	0
NW_027266199.1	1	67567	0	0	0	0	0	0
NW_027266200.1	1	160454	0	0	0	0	0	0
NW_027266201.1	1	84315	0	0	0	0	0	0
NW_027266202.1	1	67244	0	0	0	0	0	0
NW_027266204.1	1	39518	0	0	0	0	0	0
NW_027266205.1	1	50354	0	0	0	0	0	0
NW_027266206.1	1	38848	0	0	0	0	0	0
NW_027266207.1	1	95218	0	0	0	0	0	0
NW_027266208.1	1	68090	0	0	0	0	0	0
NW_027266209.1	1	135785	0	0	0	0	0	0
NW_027266210.1	1	51633	0	0	0	0	0	0
NW_027266211.1	1	19557	0	0	0	0	0	0
NW_027266212.1	1	71401	0	0	0	0	0	0
NW_027266213.1	1	69457	0	0	0	0	0	0
NW_027266214.1	1	24638	0	0	0	0	0	0
NW_027266215.1	1	6964	0	0	0	0	0	0
NW_027266216.1	1	36710	0	0	0	0	0	0
NW_027266218.1	1	24221	0	0	0	0	0	0
NW_027266219.1	1	12882	0	0	0	0	0	0
NW_027266221.1	1	64073	0	0	0	0	0	0
NW_027266222.1	1	51569	0	0	0	0	0	0
NW_027266223.1	1	23531	0	0	0	0	0	0
NW_027266224.1	1	48698	0	0	0	0	0	0
NW_027266225.1	1	18336	0	0	0	0	0	0
NW_027266226.1	1	68777	0	0	0	0	0	0
NW_027266227.1	1	18692	0	0	0	0	0	0
NW_027266228.1	1	7556	0	0	0	0	0	0
NW_027266229.1	1	8604	0	0	0	0	0	0
NW_027266230.1	1	77378	0	0	0	0	0	0
NW_027266231.1	1	36398	0	0	0	0	0	0
NW_027266232.1	1	17465	0	0	0	0	0	0
NW_027266233.1	1	17172	0	0	0	0	0	0
NW_027266234.1	1	62221	0	0	0	0	0	0
NW_027266235.1	1	19583	0	0	0	0	0	0
NW_027266236.1	1	12334	0	0	0	0	0	0
NW_027266237.1	1	29992	0	0	0	0	0	0
NW_027266238.1	1	29413	0	0	0	0	0	0
NW_027266239.1	1	43474	0	0	0	0	0	0
NW_027266240.1	1	20665	0	0	0	0	0	0
NW_027266241.1	1	25916	0	0	0	0	0	0
NW_027266242.1	1	16735	0	0	0	0	0	0
NW_027266243.1	1	35727	0	0	0	0	0	0
NW_027266244.1	1	18285	0	0	0	0	0	0
NW_027266245.1	1	40427	0	0	0	0	0	0
NW_027266246.1	1	60304	0	0	0	0	0	0
NW_027266247.1	1	12746	0	0	0	0	0	0
NW_027266248.1	1	20808	0	0	0	0	0	0
NW_027266249.1	1	9122	0	0	0	0	0	0
NW_027266250.1	1	8768	0	0	0	0	0	0
NW_027266251.1	1	9360	0	0	0	0	0	0
NW_027266252.1	1	31503	0	0	0	0	0	0
NW_027266253.1	1	41413	0	0	0	0	0	0
NW_027266254.1	1	17512	0	0	0	0	0	0
NW_027266255.1	1	17800	0	0	0	0	0	0
NW_027266256.1	1	8647	0	0	0	0	0	0
NW_027266257.1	1	19051	0	0	0	0	0	0
NW_027266258.1	1	11300	0	0	0	0	0	0
NW_027266259.1	1	40430	0	0	0	0	0	0
NW_027266260.1	1	9552	0	0	0	0	0	0
NW_027266261.1	1	12784	0	0	0	0	0	0
